order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales
CA-2018-115427,2018-12-30,2019-01-03,Standard Class,EB-13975,OFF-BI-10002103,13904
CA-2018-115427,2018-12-30,2019-01-03,Standard Class,EB-13975,OFF-BI-10004632,20.72
CA-2018-126221,2018-12-30,2019-01-05,Standard Class,CC-12430,OFF-AP-10002457,209.3
CA-2018-158673,2018-12-29,2019-01-04,Standard Class,KB-16600,OFF-PA-10000994,209.7
CA-2018-146626,2018-12-29,2019-01-05,Standard Class,BP-11185,FUR-FU-10002501,101.12
CA-2018-163979,2018-12-28,2019-01-02,Second Class,KH-16690,OFF-ST-10003208,725.84
CA-2018-129805,2018-12-28,2019-01-02,Standard Class,HM-14860,FUR-FU-10001935,7.4
US-2018-162068,2018-12-28,2018-12-31,Second Class,PC-18745,OFF-BI-10002813,1188
CA-2018-101322,2018-12-28,2018-12-31,First Class,JG-15310,FUR-CH-10003968,340704
CA-2018-163860,2018-12-28,2019-01-01,Standard Class,LO-17170,OFF-BI-10003784,1.68
CA-2018-163860,2018-12-28,2019-01-01,Standard Class,LO-17170,FUR-FU-10004586,7968
CA-2018-163860,2018-12-28,2019-01-01,Standard Class,LO-17170,FUR-CH-10004698,113372
CA-2018-163860,2018-12-28,2019-01-01,Standard Class,LO-17170,FUR-FU-10001935,2.96
CA-2018-127516,2018-12-28,2019-01-03,Standard Class,EH-14005,OFF-ST-10000736,64784
CA-2018-135111,2018-12-28,2019-01-02,Standard Class,CS-12400,OFF-AR-10004707,2.48
CA-2018-135111,2018-12-28,2019-01-02,Standard Class,CS-12400,OFF-BI-10004040,25.9
CA-2018-134404,2018-12-27,2018-12-27,Same Day,DR-12880,TEC-PH-10000576,164388
CA-2018-134404,2018-12-27,2018-12-27,Same Day,DR-12880,OFF-AR-10004441,13248
CA-2018-121741,2018-12-26,2018-12-26,Same Day,YC-21895,OFF-ST-10004459,750.68
CA-2018-136238,2018-12-26,2019-01-01,Standard Class,KB-16240,OFF-PA-10004285,16032
CA-2018-112487,2018-12-26,2018-12-30,Standard Class,TC-21535,OFF-BI-10000494,3132
CA-2018-146780,2018-12-25,2018-12-30,Standard Class,CV-12805,FUR-FU-10001934,41.96
CA-2018-121398,2018-12-25,2018-12-29,Standard Class,FH-14365,OFF-BI-10001718,153552
CA-2018-121398,2018-12-25,2018-12-29,Standard Class,FH-14365,OFF-ST-10002756,270.62
CA-2018-162880,2018-12-25,2018-12-29,Standard Class,GD-14590,OFF-BI-10003314,3856
CA-2018-114055,2018-12-25,2018-12-29,Second Class,MH-18115,OFF-PA-10004381,96.08
CA-2018-114055,2018-12-25,2018-12-29,Second Class,MH-18115,OFF-FA-10003059,3.62
CA-2018-114055,2018-12-25,2018-12-29,Second Class,MH-18115,OFF-PA-10000994,629.1
CA-2018-114055,2018-12-25,2018-12-29,Second Class,MH-18115,TEC-PH-10002890,90.48
CA-2018-169411,2018-12-24,2018-12-29,Standard Class,AC-10615,FUR-FU-10001602,37.93
CA-2018-163671,2018-12-24,2018-12-30,Standard Class,DP-13105,OFF-BI-10001679,21312
CA-2018-148355,2018-12-24,2018-12-28,Standard Class,NC-18535,OFF-PA-10001972,19.44
CA-2018-148355,2018-12-24,2018-12-28,Standard Class,NC-18535,OFF-BI-10000201,12.3
CA-2018-145219,2018-12-24,2018-12-25,First Class,RM-19675,TEC-CO-10001449,2879952
CA-2018-145219,2018-12-24,2018-12-25,First Class,RM-19675,OFF-BI-10001670,90.48
CA-2018-128734,2018-12-24,2018-12-31,Standard Class,JL-15175,FUR-FU-10001731,8544
CA-2018-128734,2018-12-24,2018-12-31,Standard Class,JL-15175,FUR-CH-10001394,842376
CA-2018-127929,2018-12-23,2018-12-27,Standard Class,FM-14215,FUR-FU-10003708,181.95
US-2018-162670,2018-12-23,2018-12-28,Second Class,MF-18250,OFF-ST-10001328,62.04
US-2018-162670,2018-12-23,2018-12-28,Second Class,MF-18250,TEC-PH-10003601,494.97
US-2018-162670,2018-12-23,2018-12-28,Second Class,MF-18250,OFF-ST-10001522,367.96
US-2018-162670,2018-12-23,2018-12-28,Second Class,MF-18250,OFF-PA-10001994,44.96
US-2018-162670,2018-12-23,2018-12-28,Second Class,MF-18250,OFF-EN-10001453,182.94
CA-2018-117443,2018-12-23,2018-12-25,Second Class,JB-15400,OFF-BI-10004002,13.84
CA-2018-117443,2018-12-23,2018-12-25,Second Class,JB-15400,OFF-PA-10004475,175872
CA-2018-110625,2018-12-23,2018-12-30,Standard Class,JB-16045,FUR-FU-10001473,27.46
CA-2018-115931,2018-12-22,2018-12-26,Standard Class,JM-15655,OFF-AR-10000369,4.17
CA-2018-115931,2018-12-22,2018-12-26,Standard Class,JM-15655,TEC-PH-10001300,67.04
CA-2018-115931,2018-12-22,2018-12-26,Standard Class,JM-15655,OFF-ST-10000876,37.32
CA-2018-115931,2018-12-22,2018-12-26,Standard Class,JM-15655,OFF-LA-10001404,18.45
CA-2018-119578,2018-12-22,2018-12-27,Second Class,JG-15310,OFF-SU-10003505,695.16
CA-2018-119578,2018-12-22,2018-12-27,Second Class,JG-15310,FUR-BO-10003660,220.98
CA-2018-100412,2018-12-22,2018-12-26,Standard Class,SR-20425,FUR-CH-10002647,141.96
CA-2018-138380,2018-12-21,2018-12-25,Standard Class,YS-21880,OFF-ST-10003306,1000.02
CA-2018-137456,2018-12-21,2018-12-21,Same Day,RB-19465,FUR-FU-10001940,15.92
CA-2018-105480,2018-12-20,2018-12-26,Standard Class,DK-13225,OFF-PA-10002787,6.48
CA-2018-105480,2018-12-20,2018-12-26,Standard Class,DK-13225,OFF-BI-10003291,6984
CA-2018-102197,2018-12-20,2018-12-26,Standard Class,DK-13150,OFF-PA-10001970,279.9
CA-2018-102197,2018-12-20,2018-12-26,Standard Class,DK-13150,OFF-BI-10001524,50352
CA-2018-102197,2018-12-20,2018-12-26,Standard Class,DK-13150,OFF-PA-10004156,34.02
CA-2018-164000,2018-12-18,2018-12-22,Standard Class,AH-10030,OFF-AR-10003183,18704
CA-2018-143252,2018-12-18,2018-12-24,Standard Class,HE-14800,FUR-FU-10001057,99.95
CA-2018-143252,2018-12-18,2018-12-24,Standard Class,HE-14800,TEC-AC-10002331,29.34
CA-2018-158736,2018-12-18,2018-12-24,Standard Class,TT-21460,OFF-AR-10002578,5.76
CA-2018-120936,2018-12-17,2018-12-21,Standard Class,CA-12310,OFF-ST-10001526,481.32
CA-2018-120936,2018-12-17,2018-12-21,Standard Class,CA-12310,OFF-SU-10002557,13.98
CA-2018-155362,2018-12-17,2018-12-21,Standard Class,DP-13105,OFF-ST-10001031,32.56
CA-2018-106964,2018-12-17,2018-12-20,First Class,HR-14770,OFF-BI-10000320,11808
CA-2018-107342,2018-12-17,2018-12-22,Standard Class,VF-21715,OFF-PA-10001745,28.16
CA-2018-137428,2018-12-16,2018-12-21,Second Class,AY-10555,FUR-CH-10002774,81568
CA-2018-137428,2018-12-16,2018-12-21,Second Class,AY-10555,FUR-CH-10003817,97184
CA-2018-137428,2018-12-16,2018-12-21,Second Class,AY-10555,OFF-BI-10002949,24.32
CA-2018-137428,2018-12-16,2018-12-21,Second Class,AY-10555,FUR-FU-10002445,18.96
CA-2018-137463,2018-12-16,2018-12-20,Second Class,KM-16225,OFF-BI-10003196,5984
CA-2018-137463,2018-12-16,2018-12-20,Second Class,KM-16225,TEC-AC-10000358,189.95
CA-2018-137463,2018-12-16,2018-12-20,Second Class,KM-16225,TEC-AC-10000057,149.95
CA-2018-137463,2018-12-16,2018-12-20,Second Class,KM-16225,OFF-AR-10001988,29.95
CA-2018-137463,2018-12-16,2018-12-20,Second Class,KM-16225,OFF-LA-10003498,44.4
CA-2018-104381,2018-12-16,2018-12-23,Standard Class,RD-19810,OFF-BI-10001628,33376
CA-2018-161578,2018-12-16,2018-12-21,Second Class,RB-19465,OFF-PA-10002986,13.36
CA-2018-161578,2018-12-16,2018-12-21,Second Class,RB-19465,OFF-ST-10002289,158.9
CA-2018-136063,2018-12-15,2018-12-19,Standard Class,SS-20140,OFF-AR-10000823,10192
CA-2018-119564,2018-12-15,2018-12-20,Standard Class,PL-18925,FUR-FU-10003096,22.77
CA-2018-147333,2018-12-14,2018-12-20,Standard Class,KL-16555,TEC-AC-10004469,159.8
CA-2018-147333,2018-12-14,2018-12-20,Standard Class,KL-16555,TEC-AC-10003038,44.75
CA-2018-169859,2018-12-14,2018-12-18,Standard Class,MP-18175,FUR-FU-10004963,26.25
CA-2018-169859,2018-12-14,2018-12-18,Standard Class,MP-18175,OFF-BI-10000174,64.96
CA-2018-169859,2018-12-14,2018-12-18,Standard Class,MP-18175,OFF-EN-10000461,43.7
CA-2018-122595,2018-12-14,2018-12-20,Standard Class,GM-14455,TEC-AC-10000474,227976
CA-2018-122595,2018-12-14,2018-12-20,Standard Class,GM-14455,TEC-PH-10003095,52.68
CA-2018-122595,2018-12-14,2018-12-20,Standard Class,GM-14455,FUR-FU-10002963,2032
CA-2018-151799,2018-12-14,2018-12-18,Standard Class,BF-11170,TEC-CO-10002313,1199.98
CA-2018-151799,2018-12-14,2018-12-18,Standard Class,BF-11170,OFF-ST-10002790,73.85
CA-2018-151799,2018-12-14,2018-12-18,Standard Class,BF-11170,OFF-SU-10001664,25.71
CA-2018-151799,2018-12-14,2018-12-18,Standard Class,BF-11170,OFF-FA-10001332,17.28
CA-2018-151799,2018-12-14,2018-12-18,Standard Class,BF-11170,FUR-TA-10003473,526582
CA-2018-135377,2018-12-13,2018-12-18,Standard Class,BP-11095,FUR-BO-10004015,287976
CA-2018-129581,2018-12-11,2018-12-18,Standard Class,KN-16390,TEC-PH-10001527,128.85
CA-2018-149706,2018-12-11,2018-12-12,First Class,AS-10285,TEC-AC-10001284,116312
CA-2018-168389,2018-12-11,2018-12-17,Standard Class,DV-13045,FUR-TA-10004289,721875
CA-2018-168389,2018-12-11,2018-12-17,Standard Class,DV-13045,TEC-PH-10003555,73568
CA-2018-168389,2018-12-11,2018-12-17,Standard Class,DV-13045,OFF-AR-10001958,13584
CA-2018-168389,2018-12-11,2018-12-17,Standard Class,DV-13045,FUR-CH-10000225,64784
US-2018-125213,2018-12-11,2018-12-13,First Class,NB-18655,OFF-FA-10001561,6.54
CA-2018-142776,2018-12-11,2018-12-14,Second Class,RS-19870,OFF-EN-10003160,7.28
CA-2018-142776,2018-12-11,2018-12-14,Second Class,RS-19870,OFF-BI-10002012,5.4
CA-2018-167150,2018-12-10,2018-12-17,Standard Class,BP-11185,OFF-BI-10001097,19936
CA-2018-167150,2018-12-10,2018-12-17,Standard Class,BP-11185,OFF-BI-10001597,65568
US-2018-140907,2018-12-10,2018-12-12,Second Class,BP-11185,TEC-AC-10004510,49.08
US-2018-140907,2018-12-10,2018-12-12,Second Class,BP-11185,OFF-ST-10000060,324.9
US-2018-140907,2018-12-10,2018-12-12,Second Class,BP-11185,OFF-AR-10000799,18.24
US-2018-135503,2018-12-10,2018-12-15,Standard Class,JE-16165,FUR-FU-10002364,14.76
CA-2018-108294,2018-12-10,2018-12-10,Same Day,LS-16975,OFF-BI-10004965,34.5
CA-2018-148922,2018-12-10,2018-12-15,Second Class,SU-20665,TEC-AC-10001838,599.97
CA-2018-148922,2018-12-10,2018-12-15,Second Class,SU-20665,TEC-PH-10000148,38.97
CA-2018-148922,2018-12-10,2018-12-15,Second Class,SU-20665,OFF-BI-10003476,45.84
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,OFF-BI-10004182,1248
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,FUR-FU-10000260,9708
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,OFF-ST-10000615,27.24
US-2018-145366,2018-12-09,2018-12-13,Standard Class,CA-12310,OFF-ST-10004180,37208
US-2018-145366,2018-12-09,2018-12-13,Standard Class,CA-12310,OFF-EN-10004386,57576
CA-2018-139199,2018-12-09,2018-12-13,Standard Class,DK-12835,FUR-CH-10000847,872.94
CA-2018-139199,2018-12-09,2018-12-13,Standard Class,DK-12835,OFF-BI-10003982,41.54
CA-2018-139199,2018-12-09,2018-12-13,Standard Class,DK-12835,OFF-PA-10001293,12.96
CA-2018-148012,2018-12-09,2018-12-15,Standard Class,KM-16225,OFF-AR-10004757,2624
CA-2018-139402,2018-12-09,2018-12-13,Standard Class,NC-18535,OFF-PA-10004359,419.4
CA-2018-139402,2018-12-09,2018-12-13,Standard Class,NC-18535,OFF-BI-10000279,13005
CA-2018-102407,2018-12-09,2018-12-13,Second Class,AT-10435,OFF-AR-10000122,11.16
